id,POBTOT
MX-AGU,1425607
MX-BCN,3769020
MX-BCS,798447
MX-CAM,928363
MX-CHP,5543828
MX-CHH,3741869
MX-CMX,9209944
MX-COA,3146771
MX-COL,731391
MX-DUR,1832650
MX-GUA,6166934
MX-GRO,3540685
MX-HID,3082841
MX-JAL,8348151
MX-MEX,16992418
MX-MIC,4748846
MX-MOR,1971520
MX-NAY,1235456
MX-NLE,5784442
MX-OAX,4132148
MX-PUE,6583278
MX-QUE,2368467
MX-ROO,1857985
MX-SLP,2822255
MX-SIN,3026943
MX-SON,2944840
MX-TAB,2402598
MX-TAM,3527735
MX-TLA,1342977
MX-VER,8062579
MX-YUC,2320898
MX-ZAC,1622138
