id,POBTOT
Abasolo,2974
Agualeguas,3382
Allende,35289
Anáhuac,18030
Apodaca,656464
Aramberri,14992
Bustamante,3661
Cadereyta Jiménez,122337
Cerralvo,7340
China,9930
Ciénega de Flores,68747
Doctor Arroyo,36088
Doctor Coss,1360
Doctor González,3256
Carmen,104478
Galeana,40903
García,397205
General Bravo,5506
General Escobedo,481213
General Terán,14109
General Treviño,1808
General Zaragoza,6282
General Zuazua,102149
Guadalupe,643143
Hidalgo,16086
Higueras,1386
Iturbide,3298
Juárez,471523
Lampazos de Naranjo,5351
Linares,91692
Los Aldamas,1407
Los Herreras,1959
Los Ramones,5389
Marín,5119
Melchor Ocampo,1483
Mier y Noriega,7652
Mina,6048
Montemorelos,67428
Monterrey,1142994
Parás,906
Pesquería,147624
Rayones,2377
Sabinas Hidalgo,34709
Salinas Victoria,86766
San Nicolás de los Garza,412199
San Pedro Garza García,132169
Santa Catarina,306322
Santiago,46784
Vallecillo,1552
Villaldama,3573
